Silhouette index for each cluster:
0 : 7, -0.6867845773435833 0.037885283623015575 0.1442857842655162 0.19822882514981766 0.26306167654242807 0.2637509002786412 0.3666883272218399 
1 : 6, -0.08228613859475747 -0.04615924080800701 -0.0020733374184601847 0.10241151514664808 0.1038780887856079 0.12948320607511377 
2 : 52, 0.12785972783210448 0.169071236628652 0.219627760594145 0.23250736618917614 0.2430841185429074 0.2508283130652701 0.27039073024094856 0.2891246084292567 0.3006858488072235 0.31144598327205947 0.4946816312263427 0.4978734449212262 0.5020262296282846 0.506032698208806 0.5099494316610657 0.5116895883805004 0.5191320312533045 0.5201393795989389 0.5274440314630321 0.5293708198869286 0.529833136128598 0.5320515575154583 0.5348915528726884 0.5391773201844718 0.5424471268735546 0.5432076075748467 0.546612362519801 0.5488031320976027 0.5500173887417551 0.5518093843375628 0.5527633279150745 0.5560333332427494 0.5589838859900085 0.5643828510735684 0.5657857716489645 0.5662429375081536 0.5664147557741359 0.569037152688817 0.5692036233915357 0.5753997078986658 0.5768318541027423 0.5770139355811233 0.5776190723173962 0.5805895755749801 0.581254486547569 0.5820916704214034 0.582248009846317 0.5838380533157665 0.58976304685432 0.5921985783665223 0.6005490363030386 0.6115894602360437 
3 : 6, 0.18633409184357347 0.19424459870369765 0.2525857599461511 0.29035256347250266 0.36082295324964614 0.4003623488347948 
4 : 6, -0.19725356197090302 -0.06331743026844472 -0.020037965918127527 0.26830541018975035 0.27399320831560264 0.3006524267362707 
5 : 9, -0.04856637911155748 0.003941426294711779 0.20626431776479545 0.22721665974762253 0.22970607967886034 0.23477523080420143 0.23929468563259965 0.25772407705461725 0.29121882865245363 
6 : 3, -0.0018053792076788125 0.18923647916766034 0.26111800711632716 
7 : 2, 0.045752839102177936 0.1267502547775334 
8 : 4, -0.20606653823727938 0.32904898798966 0.4062647751550119 0.4323944522651616 
9 : 8, 0.07545104453910595 0.107978803680356 0.12227704232477206 0.12393882152312304 0.16446649804047683 0.1697253373569085 0.187533411483823 0.20936534775422558 
10 : 2, -0.17171820746527786 -0.11981612714323872 
11 : 6, -0.12697464157064736 -0.11342720971802 -0.10511241073916833 -0.10301590299310416 0.04909265077337904 0.11969910732363967 
12 : 6, -0.0418166136095708 0.125136967243068 0.42027275778205725 0.44701453028508104 0.47057260404161655 0.50161189730652 
13 : 7, -0.08583382140814665 0.128211816984851 0.20463903926067453 0.24238416678676925 0.2644236212564151 0.2710525724726953 0.2841912474755937 
14 : 2, -0.0013446635327055475 0.04808119570450882 
15 : 9, 0.2830006212551389 0.6215328667256823 0.630912903754515 0.6351975137513904 0.6425196140853685 0.6445964919875873 0.6531157037548875 0.6742089812954795 0.6783534215308642 
16 : 16, 0.552571755710382 0.6905117429814771 0.6919109138014868 0.6972498025376022 0.7026929873849986 0.7042434454844193 0.7168433100703915 0.7198093606221964 0.7257320492980778 0.7278442808763109 0.7299975623560934 0.7373785267556053 0.7375840361550461 0.7392385309195173 0.7396511679282145 0.7422415796506612 
17 : 13, 0.6400453007580802 0.6507109142574363 0.6606289490939298 0.6636680560023478 0.676314980629198 0.6768658694314394 0.6792925031394142 0.6817302190509981 0.6822657091006175 0.6832605289411177 0.6852513612724449 0.7061227060924216 0.7195046579047313 
18 : 5, -0.07582923999065229 -0.019166593016949812 0.05872440693297641 0.15927934104017083 0.21189533450898523 
19 : 5, -0.470600728567936 0.05128882028989122 0.11728955569628643 0.29361491026596825 0.3402930625173763 
20 : 4, -0.0229487576077582 0.05570589135629614 0.1254034510158238 0.16965605500066885 
21 : 8, 0.09460108139747542 0.12128871199670345 0.20764565158401596 0.20824704391850812 0.25122762640378093 0.32440615418111246 0.35174033163193663 0.36129809112302186 
22 : 3, -0.011614313136303334 0.3621603939595147 0.41680448835611633 
23 : 4, -0.417009067513424 -0.40515348702827275 -0.022541532287308375 0.09737421853114261 
24 : 2, -0.1650904925945306 -0.1183392605627394 
25 : 3, 0.009601718516430519 0.3892946338242422 0.4417042258909661 
26 : 7, 0.16645453887007358 0.3885338320757784 0.4382211708430986 0.486943674214269 0.49324055632232094 0.5167827808913853 0.6071030085571303 
27 : 6, 0.29212635203368126 0.31742083682215944 0.40848816835058654 0.4278606327130951 0.42904650744686096 0.45080437821552155 
28 : 3, 0.609225492029324 0.6139624779962077 0.654428058378485 
29 : 2, 0.043603058951811505 0.2044603673635053 
30 : 16, 0.6534039119482038 0.6703019264172929 0.6889884219740262 0.6964966895290282 0.6978783429874592 0.7030350940351358 0.7107835726053959 0.7203262787449123 0.7210160852954491 0.7211049702114329 0.7259586735758546 0.726328131251279 0.7278526879712285 0.7351295014664024 0.7492284790581815 0.7553314894995065 
31 : 3, 0.28583028025861346 0.5471629463760906 0.615645244685225 
32 : 6, 0.6049520107096307 0.6194826898690231 0.6881834270491581 0.6889970835731677 0.7254850103267739 0.7610213606039471 
33 : 4, 0.7079423112311598 0.7171686852923362 0.7294171611718454 0.7355626161448918 
34 : 8, 0.6365434047500887 0.6653193599916389 0.6806462278150934 0.6835660223030887 0.6946335261138595 0.7257947150940178 0.7289011379687994 0.7415195322888908 
35 : 19, -0.016491794764534627 -0.0060413923719342694 -0.004046837818701913 0.00821768834267791 0.010350705423144138 0.02781141014232059 0.02947005447834409 0.03380565262631538 0.11997505294620413 0.26685099129515083 0.4798178285721174 0.4814950830519333 0.5297531865991914 0.6618032615092683 0.6669442558497661 0.6809875495453335 0.6877980559462297 0.6968310560446878 0.7090956598297559 
36 : 3, 0.6743876423710011 0.7182499844797906 0.737120486290716 
37 : 13, -0.029948810665082898 -0.02577279243065444 0.01599644801471353 0.048404364961718176 0.6890818740994948 0.6964401832065007 0.6996998670824783 0.7024589598786962 0.7134298753803126 0.7189149376478955 0.7207011086659608 0.7238688073642271 0.7263697869349228 
38 : 19, 0.631213058135044 0.6509813734070898 0.661144969018376 0.6635125601183729 0.6656096138698557 0.6861414973149715 0.6891211754935685 0.6934940712554946 0.6936960327941426 0.703496185721127 0.7062112236973456 0.7162304477149488 0.7216199151336938 0.7373387313849905 0.741830125270617 0.7433433907065097 0.7439804755648451 0.7443986589070344 0.7473447455200126 
39 : 5, -0.15521761979400364 0.07361873663230263 0.17640567080801445 0.21087148606704323 0.22733477495923668 
40 : 6, 0.7108653390110632 0.7111785512093176 0.7175057063560646 0.72733973541561 0.7306946212984836 0.7387591400460384 
41 : 6, 0.7293360620453587 0.734060713424686 0.7457100417445787 0.7479917772656335 0.7487649439843037 0.7504279756681721 
42 : 4, -0.08441160292195075 0.13662650677829422 0.17000133981564594 0.1910040008263223 
